,index,Nature mutation,Type de voie,Voie,Code postal,Commune,Code departement,1er lot,Surface Carrez du 1er lot,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,lon,lat,Valeur fonciere
3063,264087,Vente,AV,DAUMESNIL,75012,PARIS 12,75,14,"44,10",2,Appartement,45.0,3.0,2.394291,48.839784,"378000,00"
3065,264090,Vente,AV,DE SAINT MANDE,75012,PARIS 12,75,2,"73,88",1,Appartement,75.0,2.0,2.409607,48.844135,"715000,00"
3066,264092,Vente,RUE,DE LAPPE,75011,PARIS 11,75,14,"22,87",1,Appartement,24.0,1.0,2.373248,48.853481,"245000,00"
3067,264095,Vente,AV,DE LA REPUBLIQUE,75011,PARIS 11,75,118,"35,45",1,Appartement,35.0,2.0,2.378534,48.864659,"304000,00"
3069,264107,Vente,PAS,DU GENIE,75012,PARIS 12,75,1,"31,46",1,Appartement,30.0,1.0,2.388644,48.848031,"280317,00"
3072,264117,Vente,RUE,DE LAPPE,75011,PARIS 11,75,18,"40,14",1,Appartement,45.0,2.0,2.372918,48.85364000000001,"481500,00"
3074,264123,Vente,RUE,RICHARD LENOIR,75011,PARIS 11,75,35,"33,50",1,Appartement,40.0,2.0,2.381507,48.855818,"384500,00"
3075,264124,Vente,RUE,DE PICPUS,75012,PARIS 12,75,19,"57,80",1,Appartement,58.0,2.0,2.395309,48.845192,"487080,00"
3076,264126,Vente,RUE,SAINT MAUR,75011,PARIS 11,75,1687,"29,21",1,Appartement,29.0,1.0,2.376707,48.866557,"267500,00"
3077,264127,Vente,RUE,SEDAINE,75011,PARIS 11,75,10,"28,29",1,Appartement,29.0,2.0,2.37567,48.857438,"300000,00"
3078,264128,Vente,BD,VOLTAIRE,75011,PARIS 11,75,8,"90,76",1,Appartement,84.0,4.0,2.378905,48.858332,"945500,00"
3081,264133,Vente,BD,DIDEROT,75012,PARIS 12,75,16,"21,95",2,Appartement,23.0,1.0,2.375029,48.84585300000001,"240000,00"
3086,264161,Vente,RUE,PETION,75011,PARIS 11,75,13,"29,03",2,Appartement,28.0,2.0,2.381587,48.858514,"241500,00"
3091,264166,Vente,CRS,DE VINCENNES,75012,PARIS 12,75,10,"48,29",2,Appartement,44.0,3.0,2.4058900000000003,48.847116,"420000,00"
3096,264178,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,61,"38,92",1,Appartement,47.0,2.0,2.372159,48.85152,"472500,00"
3101,264190,Vente,RUE,CLAUDE TILLIER,75012,PARIS 12,75,54,"17,24",1,Appartement,16.0,1.0,2.388139,48.848302,"181100,00"
3102,264191,Vente,RUE,DE LA ROQUETTE,75011,PARIS 11,75,4,"20,20",1,Appartement,25.0,2.0,2.370785,48.853883,"220000,00"
3105,264196,Vente,BD,SOULT,75012,PARIS 12,75,11,"41,91",2,Appartement,41.0,2.0,2.411309,48.846482,"373500,00"
3108,264205,Vente,RUE,DE CITEAUX,75012,PARIS 12,75,101,"22,50",1,Appartement,24.0,1.0,2.3803080000000003,48.847649,"255000,00"
3109,264206,Vente,RUE,GODEFROY CAVAIGNAC,75011,PARIS 11,75,5,"33,49",1,Appartement,31.0,2.0,2.380459,48.856425,"288000,00"
3110,264207,Vente,RUE,DE LA VEGA,75012,PARIS 12,75,14,"26,23",1,Appartement,26.0,2.0,2.404865,48.839509,"216500,00"
3112,264210,Vente,RUE,DES MEUNIERS,75012,PARIS 12,75,174,"175,12",2,Appartement,175.0,8.0,2.398427,48.833805,"1493550,00"
3114,264217,Vente,RUE,AMELOT,75011,PARIS 11,75,237,"42,45",2,Appartement,42.0,2.0,2.36776,48.861388,"395000,00"
3115,264219,Vente,RUE,DU RENDEZ VOUS,75012,PARIS 12,75,29,"51,45",3,Appartement,60.0,3.0,2.402187,48.84623,"492000,00"
3116,264220,Vente,AV,DU GAL MICHEL BIZOT,75012,PARIS 12,75,26,"50,82",1,Appartement,54.0,2.0,2.402659,48.835881,"380200,00"
3117,264224,Vente,RUE,DE LYON,75012,PARIS 12,75,12,"63,23",2,Appartement,64.0,3.0,2.370199,48.85025,"610000,00"
3118,264226,Vente,BD,VOLTAIRE,75011,PARIS 11,75,41,"45,60",2,Appartement,52.0,2.0,2.387463,48.853619,"511597,00"
3119,264227,Vente,RUE,DE MALTE,75011,PARIS 11,75,3,"88,95",2,Appartement,80.0,2.0,2.3688700000000003,48.864121,"770000,00"
3121,264230,Vente,RUE,OBERKAMPF,75011,PARIS 11,75,215,"137,56",3,Appartement,138.0,5.0,2.382091,48.86672,"1070000,00"
3122,264231,Vente,RUE,DE MONTREUIL,75011,PARIS 11,75,83,"25,51",1,Appartement,25.0,2.0,2.3890740000000004,48.850512,"285000,00"
3124,264234,Vente,RUE,MORET,75011,PARIS 11,75,173,"27,08",1,Appartement,38.0,2.0,2.378906,48.867538,"278000,00"
3125,264235,Vente,RUE,DU FBG ST ANTOINE,75012,PARIS 12,75,7,"36,64",1,Appartement,40.0,2.0,2.3767720000000003,48.85103400000001,"350000,00"
3129,264243,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,4,"59,09",2,Appartement,62.0,2.0,2.377552,48.847356,"473000,00"
3130,264245,Vente,AV,DU GAL MICHEL BIZOT,75012,PARIS 12,75,19,"27,72",1,Appartement,30.0,2.0,2.401767,48.835518,"240855,00"
3131,264248,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,26,"40,58",1,Appartement,38.0,2.0,2.381727,48.845186,"336000,00"
3133,264274,Vente,RUE,DE NEMOURS,75011,PARIS 11,75,7,"40,52",2,Appartement,50.0,2.0,2.372895,48.865083,"350000,00"
3134,264275,Vente,RUE,LEON FROT,75011,PARIS 11,75,163,"27,88",1,Appartement,26.0,2.0,2.384719,48.857385,"278000,00"
3137,264280,Vente,RUE,SAINT MAUR,75011,PARIS 11,75,40,"53,29",1,Appartement,52.0,3.0,2.376806,48.866122,"543500,00"
3138,264281,Vente,RUE,DU FBG ST ANTOINE,75011,PARIS 11,75,47,"10,70",1,Appartement,10.0,1.0,2.38082,48.850538,"90000,00"
3139,264282,Vente,RUE,DES TAILLANDIERS,75011,PARIS 11,75,40,"16,01",2,Appartement,22.0,1.0,2.374807,48.855345,"180000,00"
3145,264297,Vente,BD,DU TEMPLE,75011,PARIS 11,75,15,"27,17",1,Appartement,27.0,2.0,2.365572,48.865874,"212000,00"
3146,264298,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,20,"31,09",2,Appartement,32.0,2.0,2.387658,48.840712,"220000,00"
3147,264299,Vente,RUE,DES FONDS VERTS,75012,PARIS 12,75,531,"27,34",1,Appartement,27.0,1.0,2.3906240000000003,48.836985,"258570,00"
3148,264301,Vente,RUE,DE LA PRESENTATION,75011,PARIS 11,75,7,"27,34",1,Appartement,26.0,2.0,2.376368,48.871424,"236000,00"
3149,264302,Vente,RUE,DE REUILLY,75012,PARIS 12,75,5128,"34,82",2,Appartement,35.0,1.0,2.393921,48.841394,"260000,00"
3151,264306,Vente,VLA,DU BEL AIR,75012,PARIS 12,75,101,"52,08",5,Appartement,52.0,3.0,2.408763,48.843139,"513950,00"
3157,264319,Vente,RUE,AMELOT,75011,PARIS 11,75,119,"60,50",2,Appartement,65.0,3.0,2.36748,48.862392,"640000,00"
3159,264323,Vente,RUE,DU DOCTEUR GOUJON,75012,PARIS 12,75,14,"40,13",2,Appartement,41.0,2.0,2.398826,48.84026,"383000,00"
3160,264324,Vente,AV,DAUMESNIL,75012,PARIS 12,75,18,"20,35",2,Appartement,25.0,1.0,2.400665,48.837946,"172000,00"
3161,264325,Vente,RUE,DE WATTIGNIES,75012,PARIS 12,75,20,"37,82",2,Appartement,35.0,2.0,2.395334,48.835984,"363397,00"
3163,264327,Vente,RUE,DE LA FONTAINE AU ROI,75011,PARIS 11,75,8,"16,71",1,Appartement,20.0,1.0,2.369982,48.868387,"199000,00"
3165,264332,Vente,RUE,DU CHEMIN VERT,75011,PARIS 11,75,16,"39,53",1,Appartement,40.0,2.0,2.385081,48.862201,"427950,00"
3166,264333,Vente,PAS,ST PIERRE AMELOT,75011,PARIS 11,75,4,"41,69",3,Appartement,83.0,1.0,2.370119,48.862772,"560400,00"
3167,264334,Vente,RUE,GUENOT,75011,PARIS 11,75,120,"21,83",2,Appartement,23.0,2.0,2.392029,48.851653000000006,"248500,00"
3168,264340,Vente,BD,DE MENILMONTANT,75011,PARIS 11,75,106,"28,23",2,Appartement,30.0,2.0,2.38756,48.862035,"299938,00"
3169,264341,Vente,RUE,DU FBG ST ANTOINE,75011,PARIS 11,75,25,"26,81",2,Appartement,26.0,1.0,2.377053,48.851168,"280000,00"
3171,264348,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,66,"38,27",1,Appartement,37.0,2.0,2.388544,48.839998,"377700,00"
3172,264349,Vente,RUE,SEDAINE,75011,PARIS 11,75,57,"18,29",1,Appartement,25.0,1.0,2.378127,48.858413,"155000,00"
3173,264350,Vente,RUE,DE LA VOUTE,75012,PARIS 12,75,252,"82,65",2,Appartement,83.0,4.0,2.407091,48.845619,"658000,00"
3174,264352,Vente,RUE,DE PICPUS,75012,PARIS 12,75,113,"43,64",2,Appartement,44.0,2.0,2.403776,48.835233,"420000,00"
3175,264354,Vente,RUE,DU MARCHE POPINCOURT,75011,PARIS 11,75,278,"16,96",2,Appartement,20.0,1.0,2.3733470000000003,48.863963,"167000,00"
3176,264356,Vente,RUE,POPINCOURT,75011,PARIS 11,75,106,"26,74",1,Appartement,27.0,1.0,2.377194,48.857792,"260000,00"
3177,264357,Vente,RUE,SAINT SEBASTIEN,75011,PARIS 11,75,84,"33,19",1,Appartement,34.0,1.0,2.370893,48.861663,"282000,00"
3178,264358,Vente,RUE,OBERKAMPF,75011,PARIS 11,75,53,"30,84",2,Appartement,30.0,2.0,2.373126,48.864841,"309800,00"
3179,264359,Vente,AV,DE SAINT MANDE,75012,PARIS 12,75,54,"16,94",1,Appartement,16.0,1.0,2.406605,48.844795,"101000,00"
3181,264367,Vente,RUE,DU GRAND PRIEURE,75011,PARIS 11,75,21,"34,26",2,Appartement,36.0,2.0,2.368646,48.865814,"336800,00"
3183,264369,Vente,RUE,DE MONTREUIL,75011,PARIS 11,75,54,"58,51",1,Appartement,60.0,3.0,2.395531,48.850744,"500000,00"
3186,264377,Vente,RUE,CHALIGNY,75012,PARIS 12,75,1,"11,77",1,Appartement,12.0,1.0,2.383482,48.846295,"120000,00"
3187,264378,Vente,RUE,SAINT MAUR,75011,PARIS 11,75,4,"22,03",1,Appartement,26.0,1.0,2.377533,48.865199,"265000,00"
3188,264379,Vente,RUE,DE LA FONTAINE AU ROI,75011,PARIS 11,75,108,"45,86",1,Appartement,46.0,3.0,2.374245,48.868351,"500500,00"
3189,264384,Vente,RUE,DE LA GARE DE REUILLY,75012,PARIS 12,75,108,"19,53",2,Appartement,19.0,1.0,2.395617,48.841873,"214000,00"
3190,264385,Vente,IMP,DES JARDINIERS,75011,PARIS 11,75,22,"18,23",2,Appartement,19.0,1.0,2.392033,48.852197,"190000,00"
3191,264386,Vente,BD,DE CHARONNE,75011,PARIS 11,75,1276,"70,10",2,Appartement,70.0,3.0,2.378826,48.853389,"783300,00"
3193,264396,Vente,BD,DE REUILLY,75012,PARIS 12,75,63,"32,69",1,Appartement,33.0,2.0,2.384948,48.849454,"290000,00"
3194,264397,Vente,IMP,DES JARDINIERS,75011,PARIS 11,75,11,"30,49",2,Appartement,31.0,1.0,2.392033,48.852197,"268000,00"
3196,264400,Vente,RUE,DE LA VOUTE,75012,PARIS 12,75,26,"31,00",1,Appartement,37.0,2.0,2.408667,48.846487,"268523,00"
3198,264402,Vente,RUE,DU CHEMIN VERT,75011,PARIS 11,75,14,"14,65",1,Appartement,14.0,1.0,2.386355,48.862533,"143500,00"
3199,264406,Vente,CITE,JOLY,75011,PARIS 11,75,12,"37,57",2,Appartement,38.0,2.0,2.383013,48.862257,"375000,00"
3200,264407,Vente,RUE,JULES VALLES,75011,PARIS 11,75,55,"10,57",1,Appartement,10.0,1.0,2.385252,48.853238,"100000,00"
3201,264408,Vente,RUE,GUILLAUME BERTRAND,75011,PARIS 11,75,117,"82,09",2,Appartement,84.0,3.0,2.380634,48.863745,"680000,00"
3205,264416,Vente,RUE,DU CHEMIN VERT,75011,PARIS 11,75,12,"54,46",2,Appartement,54.0,2.0,2.373965,48.858761,"473750,00"
3206,264417,Vente,RUE,PETION,75011,PARIS 11,75,16,"27,27",1,Appartement,27.0,2.0,2.381587,48.858514,"233000,00"
3207,264420,Vente,AV,PHILIPPE AUGUSTE,75011,PARIS 11,75,26,"38,76",3,Appartement,50.0,2.0,2.391101,48.856517,"476000,00"
3208,264423,Vente,RUE,SAINT MAUR,75011,PARIS 11,75,57,"14,52",1,Appartement,16.0,1.0,2.375266,48.868148,"115000,00"
3211,264429,Vente,BD,VOLTAIRE,75011,PARIS 11,75,22,"74,62",1,Appartement,73.0,3.0,2.384012,48.855677,"828000,00"
3212,264431,Vente,AV,DE TAILLEBOURG,75011,PARIS 11,75,47,"97,84",1,Appartement,97.0,5.0,2.397825,48.849985,"855000,00"
3215,264435,Vente,RUE,LAMBLARDIE,75012,PARIS 12,75,29,"27,27",2,Appartement,27.0,2.0,2.398158,48.840659,"287000,00"
3216,264439,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,486,"45,38",2,Appartement,45.0,2.0,2.388871,48.839639,"415000,00"
3218,264446,Vente,RUE,TAINE,75012,PARIS 12,75,9,"89,24",1,Appartement,80.0,4.0,2.39291,48.838254,"670000,00"
3220,264449,Vente,RUE,DE MONTREUIL,75011,PARIS 11,75,147,"26,02",2,Appartement,26.0,1.0,2.396015,48.850996,"245000,00"
3221,264452,Vente,RUE,SAINT NICOLAS,75012,PARIS 12,75,7,"18,74",1,Appartement,18.0,1.0,2.374129,48.85067700000001,"182000,00"
3222,264453,Vente,RUE,BISCORNET,75012,PARIS 12,75,209,"26,25",1,Appartement,24.0,1.0,2.369661,48.850504,"240000,00"
3225,264456,Vente,RUE,LEON FROT,75011,PARIS 11,75,110,"64,61",2,Appartement,63.0,3.0,2.387705,48.854548,"613000,00"
3227,264461,Vente,RUE,DES COLONNES DU TRONE,75012,PARIS 12,75,1,"19,35",1,Appartement,20.0,1.0,2.399051,48.845602,"172600,00"
3228,264462,Vente,RUE,DE PICPUS,75012,PARIS 12,75,227,"87,68",2,Appartement,89.0,4.0,2.396305,48.84392800000001,"843300,00"
3231,264468,Vente,BD,DE PICPUS,75012,PARIS 12,75,273,"83,34",2,Appartement,82.0,4.0,2.394293,48.846614,"640000,00"
3232,264471,Vente,RUE,AUGUSTE BARBIER,75011,PARIS 11,75,17,"28,18",2,Appartement,32.0,2.0,2.371289,48.868634,"314400,00"
3234,264477,Vente,AV,PARMENTIER,75011,PARIS 11,75,239,"8,25",1,Appartement,12.0,1.0,2.379035,48.860096,"97950,00"
3235,264478,Vente,AV,DE SAINT MANDE,75012,PARIS 12,75,1,"33,02",1,Appartement,35.0,1.0,2.404182,48.844597,"330000,00"
3236,264480,Vente,RUE,BASFROI,75011,PARIS 11,75,20,"26,10",1,Appartement,26.0,2.0,2.378943,48.855298,"289736,00"
3237,264481,Vente,RUE,ROCHEBRUNE,75011,PARIS 11,75,23,"25,13",1,Appartement,25.0,1.0,2.378938,48.860824,"257000,00"
3239,264483,Vente,BD,DU TEMPLE,75011,PARIS 11,75,6,"58,37",1,Appartement,58.0,3.0,2.3659380000000003,48.864956,"607500,00"
3240,264486,Vente,RUE,TRAVERSIERE,75012,PARIS 12,75,36,"14,98",1,Appartement,15.0,1.0,2.372987,48.847266,"117500,00"
3241,264488,Vente,RUE,DU FBG ST ANTOINE,75011,PARIS 11,75,21,"28,29",1,Appartement,40.0,2.0,2.379009,48.850706,"310000,00"
3242,264491,Vente,RUE,DE LYON,75012,PARIS 12,75,2,"33,90",1,Appartement,32.0,2.0,2.371383,48.847573,"350000,00"
3243,264492,Vente,RUE,CLAUDE DECAEN,75012,PARIS 12,75,317,"86,76",2,Appartement,86.0,4.0,2.400021,48.835644,"790000,00"
3244,264494,Vente,RUE,DE FECAMP,75012,PARIS 12,75,27,"36,32",1,Appartement,40.0,2.0,2.398456,48.834777,"317000,00"
3248,264502,Vente,RUE,ELISA LEMONNIER,75012,PARIS 12,75,2,"95,18",5,Appartement,95.0,5.0,2.389872,48.840539,"750000,00"
3251,264505,Vente,RUE,MERCOEUR,75011,PARIS 11,75,131,"19,55",1,Appartement,24.0,2.0,2.383465,48.857038,"211000,00"
3252,264506,Vente,RUE,DE FECAMP,75012,PARIS 12,75,35,"32,59",1,Appartement,30.0,2.0,2.399943,48.836064,"280000,00"
3254,264509,Vente,RUE,DES MEUNIERS,75012,PARIS 12,75,14,"28,59",1,Appartement,26.0,2.0,2.393334,48.836365,"184000,00"
3255,264511,Vente,RUE,DES BOULETS,75011,PARIS 11,75,18,"22,72",2,Appartement,26.0,2.0,2.391093,48.849798,"259300,00"
3256,264513,Vente,RUE,EDOUARD LOCKROY,75011,PARIS 11,75,7,"17,81",1,Appartement,24.0,1.0,2.374591,48.86570800000001,"185000,00"
3259,264517,Vente,RUE,DE MONT LOUIS,75011,PARIS 11,75,28,"28,02",2,Appartement,26.0,2.0,2.388391,48.858257,"280000,00"
3260,264520,Vente,RUE,PARROT,75012,PARIS 12,75,15,"51,69",2,Appartement,53.0,3.0,2.37308,48.846912,"438000,00"
3263,264525,Vente,RUE,DES MEUNIERS,75012,PARIS 12,75,10,"29,59",2,Appartement,30.0,2.0,2.396058,48.834877,"200000,00"
3264,264527,Vente,RUE,DU CHEMIN VERT,75011,PARIS 11,75,59,"59,41",1,Appartement,59.0,3.0,2.373965,48.858761,"554600,00"
3265,264528,Vente,RUE,DU CHEMIN VERT,75011,PARIS 11,75,65,"29,42",1,Appartement,29.0,2.0,2.373965,48.858761,"294000,00"
3266,264532,Vente,RUE,ALPHONSE BAUDIN,75011,PARIS 11,75,1104,"95,25",2,Appartement,95.0,4.0,2.370574,48.860288,"939472,00"
3267,264533,Vente,RUE,LEON FROT,75011,PARIS 11,75,16,"44,45",1,Appartement,51.0,3.0,2.385576,48.856507,"285000,00"
3268,264541,Vente,VLA,JEAN GODARD,75012,PARIS 12,75,3,"15,26",1,Appartement,14.0,2.0,2.405472,48.835498,"145000,00"
3269,264543,Vente,RUE,BAULANT,75012,PARIS 12,75,4,"50,68",1,Appartement,50.0,3.0,2.387083,48.841111,"429000,00"
3271,264549,Vente,BD,VOLTAIRE,75011,PARIS 11,75,11,"42,91",1,Appartement,44.0,2.0,2.39447,48.849502,"425000,00"
3272,264550,Vente,RUE,SAINT SABIN,75011,PARIS 11,75,26,"69,09",1,Appartement,66.0,3.0,2.37122,48.856,"730000,00"
3273,264552,Vente,RUE,DU CHEMIN VERT,75011,PARIS 11,75,55,"27,25",1,Appartement,27.0,1.0,2.3728700000000003,48.858563,"300000,00"
3274,264553,Vente,RUE,DE CRUSSOL,75011,PARIS 11,75,9,"13,07",1,Appartement,18.0,1.0,2.367966,48.864203,"190000,00"
3277,264557,Vente,AV,LEDRU ROLLIN,75011,PARIS 11,75,9,"32,90",1,Appartement,33.0,2.0,2.3786240000000003,48.855287,"325000,00"
3278,264558,Vente,RUE,NEUVE DES BOULETS,75011,PARIS 11,75,10,"18,13",1,Appartement,16.0,1.0,2.388525,48.853813,"180000,00"
3279,264561,Vente,RUE,SAINT AMBROISE,75011,PARIS 11,75,113,"91,55",2,Appartement,94.0,3.0,2.378457,48.862742,"830000,00"
3284,264578,Vente,RUE,POPINCOURT,75011,PARIS 11,75,119,"30,08",1,Appartement,30.0,1.0,2.3765080000000003,48.85840200000001,"283810,00"
3286,264580,Vente,RUE,CROZATIER,75012,PARIS 12,75,116,"40,97",2,Appartement,42.0,2.0,2.37927,48.85008300000001,"407600,00"
3287,264581,Vente,RUE,DE REUILLY,75012,PARIS 12,75,46,"16,30",1,Appartement,16.0,1.0,2.386607,48.84773,"180000,00"
3288,264582,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,14,"52,90",1,Appartement,54.0,3.0,2.3916470000000003,48.836585,"499000,00"
3291,264591,Adjudication,CRS,DE VINCENNES,75012,PARIS 12,75,22,"35,37",1,Appartement,36.0,2.0,2.4058900000000003,48.847116,"330000,00"
3293,264597,Vente,RUE,SERVAN,75011,PARIS 11,75,15,"39,49",2,Appartement,38.0,2.0,2.381184,48.863703,"400000,00"
3294,264598,Vente,RUE,GODEFROY CAVAIGNAC,75011,PARIS 11,75,121,"45,41",2,Appartement,45.0,2.0,2.381536,48.854493,"485200,00"
3295,264600,Vente,PAS,BESLAY,75011,PARIS 11,75,27,"66,20",2,Appartement,66.0,2.0,2.37425,48.863519,"755000,00"
3296,264601,Vente,AV,PHILIPPE AUGUSTE,75011,PARIS 11,75,14,"54,10",2,Appartement,53.0,3.0,2.39203,48.855019,"480000,00"
3298,264608,Vente,RUE,DU GRAND PRIEURE,75011,PARIS 11,75,28,"22,20",2,Appartement,22.0,2.0,2.369,48.864979,"228000,00"
3299,264610,Vente,AV,DE LA REPUBLIQUE,75011,PARIS 11,75,18,"41,96",2,Appartement,48.0,2.0,2.367957,48.86666500000001,"497700,00"
3301,264616,Vente,RUE,DU FBG ST ANTOINE,75011,PARIS 11,75,8,"25,11",1,Appartement,26.0,2.0,2.381179,48.850535,"255000,00"
3302,264617,Vente,CITE,D ANGOULEME,75011,PARIS 11,75,13,"13,03",1,Appartement,14.0,1.0,2.3746720000000003,48.866564,"131000,00"
3303,264618,Vente,BD,DE BELLEVILLE,75011,PARIS 11,75,187,"67,91",2,Appartement,71.0,3.0,2.380974,48.868285,"580000,00"
3305,264623,Vente,AV,JEAN AICARD,75011,PARIS 11,75,4,"96,15",2,Appartement,96.0,4.0,2.380981,48.865291,"760000,00"
3306,264626,Vente,RUE,JULES VALLES,75011,PARIS 11,75,14,"10,59",1,Appartement,11.0,1.0,2.385252,48.853238,"95000,00"
3307,264627,Vente,RUE,DE LA ROQUETTE,75011,PARIS 11,75,1,"34,90",1,Appartement,42.0,1.0,2.376978,48.856527,"405000,00"
3310,264632,Vente,RUE,DE FECAMP,75012,PARIS 12,75,7,"46,01",1,Appartement,45.0,3.0,2.40192,48.83685300000001,"440000,00"
3311,264634,Vente,RUE,ALEXANDRE DUMAS,75011,PARIS 11,75,14,"58,97",1,Appartement,55.0,3.0,2.394178,48.853834,"585010,00"
3313,264637,Vente,RUE,DE MONTREUIL,75011,PARIS 11,75,75,"21,50",1,Appartement,21.0,1.0,2.397251,48.851208,"125000,00"
3314,264638,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,11,"25,88",1,Appartement,26.0,1.0,2.389624,48.838484,"235000,00"
3316,264640,Vente,RUE,SAINT HUBERT,75011,PARIS 11,75,67,"52,17",1,Appartement,51.0,2.0,2.379443,48.863674,"400000,00"
3317,264641,Vente,RUE,DE COTTE,75012,PARIS 12,75,18,"21,02",1,Appartement,21.0,1.0,2.378308,48.850222,"239210,00"
3319,264643,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,21,"38,19",1,Appartement,36.0,2.0,2.381545,48.845079,"360000,00"
3321,264650,Vente,AV,PARMENTIER,75011,PARIS 11,75,14,"51,87",2,Appartement,53.0,2.0,2.375823,48.86328,"477000,00"
3322,264652,Vente,RUE,DU FBG ST ANTOINE,75011,PARIS 11,75,24,"16,15",1,Appartement,16.0,1.0,2.382834,48.850527,"160000,00"
3324,264655,Vente,RUE,PROUDHON,75012,PARIS 12,75,107,"50,37",3,Appartement,60.0,2.0,2.390626,48.837304,"458000,00"
3327,264664,Vente,RUE,JEAN MACE,75011,PARIS 11,75,11,"45,15",2,Appartement,42.0,3.0,2.383977,48.853055,"470000,00"
3328,264666,Vente,RUE,DE CHARENTON,75012,PARIS 12,75,115,"27,06",1,Appartement,28.0,2.0,2.382007,48.845131,"260000,00"
3332,264676,Vente,RUE,DAVAL,75011,PARIS 11,75,39,"48,51",1,Appartement,50.0,2.0,2.371037,48.854572,"485800,00"
3334,264679,Vente,AV,DU GAL MICHEL BIZOT,75012,PARIS 12,75,148,"50,94",1,Appartement,52.0,3.0,2.401518,48.835333,"525000,00"
3335,264686,Vente,RUE,JULES VALLES,75011,PARIS 11,75,3,"46,11",1,Appartement,45.0,3.0,2.385161,48.853957,"280000,00"
3336,264687,Vente,RUE,DU CHEMIN VERT,75011,PARIS 11,75,123,"70,46",2,Appartement,68.0,4.0,2.3702330000000003,48.857695,"725000,00"
3340,264693,Vente,RUE,AMELOT,75011,PARIS 11,75,11,"48,52",1,Appartement,48.0,4.0,2.366171,48.86555,"429000,00"
3341,264698,Vente,RUE,SIDI BRAHIM,75012,PARIS 12,75,101,"35,58",2,Appartement,35.0,2.0,2.399762,48.838735,"341000,00"
3343,264702,Vente,RUE,POPINCOURT,75011,PARIS 11,75,308,"46,30",2,Appartement,48.0,1.0,2.377771,48.857024,"500000,00"
3344,264704,Vente,RUE,DU FBG ST ANTOINE,75011,PARIS 11,75,53,"37,66",1,Appartement,50.0,3.0,2.379009,48.850706,"451562,00"
3345,264708,Vente,RUE,PELEE,75011,PARIS 11,75,1313,"51,61",2,Appartement,52.0,2.0,2.370052,48.859834,"547000,00"
3346,264710,Vente,BD,DU TEMPLE,75011,PARIS 11,75,14,"16,52",1,Appartement,17.0,1.0,2.365988,48.86485,"160000,00"
3348,264718,Vente,RUE,DE PICPUS,75012,PARIS 12,75,20,"19,87",1,Appartement,19.0,1.0,2.402113,48.837727,"205000,00"
3349,264721,Vente,RUE,DE MONTREUIL,75011,PARIS 11,75,145,"90,11",2,Appartement,90.0,4.0,2.387419,48.850506,"890476,00"
3350,264722,Vente,RUE,POPINCOURT,75011,PARIS 11,75,123,"45,25",2,Appartement,45.0,2.0,2.375341,48.860415,"450000,00"
3352,264724,Vente,RUE,LOUIS BRAILLE,75012,PARIS 12,75,333,"83,88",1,Appartement,81.0,5.0,2.403371,48.839813,"719000,00"
3355,264731,Vente,BD,DU TEMPLE,75011,PARIS 11,75,13,"32,80",1,Appartement,30.0,3.0,2.365727,48.865361,"240000,00"
3357,264733,Vente,RUE,CHANZY,75011,PARIS 11,75,45,"26,01",1,Appartement,34.0,1.0,2.383969,48.852512,"315000,00"
3358,264734,Vente,RUE,DU FBG ST ANTOINE,75012,PARIS 12,75,307,"52,03",2,Appartement,52.0,2.0,2.388209,48.849426,"470000,00"
3362,264747,Vente,RUE,SERVAN,75011,PARIS 11,75,117,"54,82",1,Appartement,50.0,3.0,2.382137,48.862498,"420000,00"
3364,264751,Vente,RUE,DU COLONEL OUDOT,75012,PARIS 12,75,38,"25,15",1,Appartement,25.0,2.0,2.406222,48.83637,"190000,00"
3365,264768,Vente,RUE,DE LA FORGE ROYALE,75011,PARIS 11,75,16,"24,70",1,Appartement,22.0,1.0,2.380156,48.850785,"236000,00"
3367,264772,Vente,RUE,AMELOT,75011,PARIS 11,75,23,"68,10",2,Appartement,65.0,3.0,2.369183,48.856312,"608763,00"
3368,264781,Vente,RUE,LACUEE,75012,PARIS 12,75,20,"48,52",1,Appartement,53.0,3.0,2.369675,48.84946,"567000,00"
3369,264782,Vente,RUE,JEAN PIERRE TIMBAUD,75011,PARIS 11,75,17,"16,24",1,Appartement,14.0,1.0,2.3796470000000003,48.86855900000001,"159000,00"
3370,264783,Vente,RUE,DE LA FONTAINE AU ROI,75011,PARIS 11,75,40,"14,33",1,Appartement,14.0,1.0,2.373208,48.868007,"158417,33"
3371,264790,Vente,RUE,PETION,75011,PARIS 11,75,6,"29,12",1,Appartement,29.0,2.0,2.381587,48.858514,"243600,00"
3372,264794,Vente,RUE,DE LA FOLIE MERICOURT,75011,PARIS 11,75,1006,"22,63",2,Appartement,25.0,1.0,2.374012,48.862211,"145000,00"
