,index,Nature mutation,Type de voie,Voie,Code postal,Commune,Code departement,1er lot,Surface Carrez du 1er lot,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,lon,lat,Valeur fonciere
13741,293628,Vente,RUE,FEUTRIER,75018,PARIS 18,75,34.0,"15,08",1,Appartement,18.0,1.0,2.346064,48.886921,"170000,00"
13742,293629,Vente,RUE,SAINT LUC,75018,PARIS 18,75,42.0,"30,47",1,Appartement,30.0,2.0,2.354103,48.886321,"275000,00"
13743,293630,Vente,RUE,DU RUISSEAU,75018,PARIS 18,75,35.0,"5,41",1,Appartement,3.0,1.0,2.340443,48.893528,"34000,00"
13745,293632,Vente,RUE,DURANTIN,75018,PARIS 18,75,38.0,"27,35",1,Appartement,33.0,2.0,2.33524,48.886746,"243000,00"
13747,293637,Vente,RUE,STE ISAURE,75018,PARIS 18,75,12.0,"52,07",2,Appartement,51.0,2.0,2.344187,48.89344000000001,"465600,00"
13750,293640,Vente,RUE,HEGESIPPE MOREAU,75018,PARIS 18,75,233.0,"24,10",1,Appartement,35.0,1.0,2.327583,48.88752,"305000,00"
13752,293647,Vente,RUE,MULLER,75018,PARIS 18,75,24.0,"19,52",1,Appartement,20.0,1.0,2.347425,48.886825,"166250,00"
13753,293648,Vente,RUE,DES POISSONNIERS,75018,PARIS 18,75,19.0,"44,24",1,Appartement,40.0,2.0,2.349887,48.885859,"398000,00"
13755,293651,Vente,AV,DE CLICHY,75018,PARIS 18,75,135.0,"53,80",1,Appartement,53.0,3.0,2.326594,48.88569,"533000,00"
13756,293655,Vente,RUE,DE LA CHAPELLE,75018,PARIS 18,75,157.0,"24,51",2,Appartement,25.0,1.0,2.35964,48.897424,"140000,00"
13757,293659,Vente,RUE,MARX DORMOY,75018,PARIS 18,75,33.0,"30,10",1,Appartement,32.0,2.0,2.359704,48.889296,"260600,00"
13761,293667,Vente,RUE,CUSTINE,75018,PARIS 18,75,10.0,"51,09",2,Appartement,46.0,3.0,2.343444,48.889764,"313591,00"
13762,293668,Vente,RUE,GUSTAVE ROUANET,75018,PARIS 18,75,482.0,"30,17",1,Appartement,30.0,2.0,2.3400830000000004,48.896445,"233260,00"
