index,Code service CH,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,lon,lat,code_IRIS,code_district_admin,code_district_custom,Valeur fonciere
249426,,,,,,,,1,1451,Vente,39.0,,RUE,0487,D ARTOIS,75008,PARIS 08,75,108,,BF,30,,103.0,,54.0,,,,,,,,2,2.0,Appartement,,28.0,1.0,,,,2.305705,48.874096,751083005.0,30.0,Hoche-Friedland,"200000,00"
249427,,,,,,,,1,1425,Vente,67.0,,BD,2386,DE COURCELLES,75008,PARIS 08,75,108,,AY,32,,14.0,"253,30",,,,,,,,,1,2.0,Appartement,,260.0,8.0,,,,2.305461,48.877809,751083002.0,30.0,Hoche-Friedland,"2638500,00"
249430,,,,,,,,1,1451,Vente,56.0,,RUE,8212,DE RICHELIEU,75001,PARIS 01,75,101,,AV,63,,60.0,"15,68",,,,,,,,,1,2.0,Appartement,,19.0,1.0,,,,2.337399,48.866547,751010301.0,3.0,Palais Royal,"209000,00"
249431,,,,,,,,1,1399,Vente,170.0,,RUE,9191,DU TEMPLE,75003,PARIS 03,75,103,,AG,110,,111.0,"23,74",,,,,,,,,1,2.0,Appartement,,28.0,1.0,,,,2.361764,48.866457000000004,751031001.0,10.0,Enfants Rouges,"300000,00"
249433,,,,,,,,1,1500,Vente,26.0,,RUE,6513,MONTMARTRE,75001,PARIS 01,75,101,,AQ,7,,30.0,"68,20",49.0,,64.0,,,,,,3,2.0,Appartement,,75.0,3.0,,,,2.345559,48.864215,751010204.0,2.0,Les Halles,"752400,00"
249434,,,,,,,,1,1477,Vente,11.0,,BD,0719,DES BATIGNOLLES,75008,PARIS 08,75,108,,CD,53,,3.0,"12,66",,,,,,,,,1,2.0,Appartement,,13.0,1.0,,,,2.325825,48.882989,751083207.0,32.0,Europe,"124000,00"
249435,,,,,,,,1,1500,Vente,20.0,,QUAI,6249,DE LA MEGISSERIE,75001,PARIS 01,75,101,,AN,100,,56.0,"44,42",,,,,,,,,1,2.0,Appartement,,46.0,2.0,,,,2.343655,48.858292999999996,751010101.0,1.0,Saint Germain l'Auxerrois,"530000,00"
249436,,,,,,,,1,1321,Vente,14.0,,RUE,3118,D EDIMBOURG,75008,PARIS 08,75,108,,CF,66,,11.0,"108,06",4.0,,,,,,,,2,2.0,Appartement,,117.0,4.0,,,,2.320487,48.879478000000006,751083205.0,32.0,Mairie,"1200000,00"
249439,,,,,,,,1,1477,Vente,6.0,,RUE,8073,REAUMUR,75003,PARIS 03,75,103,,AE,38,,27.0,"16,24",,,,,,,,,1,2.0,Appartement,,15.0,1.0,,,,2.359254,48.864902,751030903.0,9.0,Arts et Métiers,"170250,00"
249442,,,,,,,,1,1399,Vente,12.0,,RUE,0179,ALFRED DE VIGNY,75008,PARIS 08,75,108,,CO,20,,107.0,,109.0,,,,,,,,2,2.0,Appartement,,227.0,7.0,,,,2.305218,48.879133,751083203.0,32.0,Parc Monceau,"2400000,00"
